Código;Descripción;Padre;;;;;;;;;;;;;;;;;;;;;;;
4131;Operadores de máquinas de procesamiento de texto y mecanógrafos;413;;;;;;;;;;;;;;;;;;;;;;;
4132;Grabadores de datos;413;;;;;;;;;;;;;;;;;;;;;;;
42;EMPLEADOS DE TRATO DIRECTO CON EL PÚBLICO;4;;;;;;;;;;;;;;;;;;;;;;;
421;Pagadores y cobradores de ventanilla y afines;42;;;;;;;;;;;;;;;;;;;;;;;
4211;Cajeros de bancos y afines;421;;;;;;;;;;;;;;;;;;;;;;;
4212;Receptores de apuestas y afines;421;;;;;;;;;;;;;;;;;;;;;;;
4213;Prestamistas;421;;;;;;;;;;;;;;;;;;;;;;;
4214;Cobradores y afines;421;;;;;;;;;;;;;;;;;;;;;;;
422;Empleados de servicios de información al cliente;42;;;;;;;;;;;;;;;;;;;;;;;
4221;Empleados y consultores de viajes;422;;;;;;;;;;;;;;;;;;;;;;;
4222;Empleados de centros de llamadas;422;;;;;;;;;;;;;;;;;;;;;;;
4223;Telefonistas;422;;;;;;;;;;;;;;;;;;;;;;;
4224;Recepcionistas de hoteles;422;;;;;;;;;;;;;;;;;;;;;;;
4225;Empleados de ventanillas de información;422;;;;;;;;;;;;;;;;;;;;;;;
4226;Recepcionistas generales;422;;;;;;;;;;;;;;;;;;;;;;;
4227;Entrevistadores de encuestas y de investigaciones de mercados;422;;;;;;;;;;;;;;;;;;;;;;;
4229;Otros empleados de servicios de información al cliente no clasificados en otros grupos primarios;422;;;;;;;;;;;;;;;;;;;;;;;
43;AUXILIARES CONTABLES Y ENCARGADOS DEL REGISTRO DE MATERIALES;4;;;;;;;;;;;;;;;;;;;;;;;
431;Auxiliares contables y financieros;43;;;;;;;;;;;;;;;;;;;;;;;
4311;Auxiliares de contabilidad y cálculo de costos;431;;;;;;;;;;;;;;;;;;;;;;;
4312;Auxiliares de servicios estadísticos, financieros y de seguros;431;;;;;;;;;;;;;;;;;;;;;;;
4313;Auxiliares encargados de las nóminas;431;;;;;;;;;;;;;;;;;;;;;;;
432;Empleados encargados del registro de materiales y de transportes;43;;;;;;;;;;;;;;;;;;;;;;;
4321;Empleados de control de abastecimientos e inventario;432;;;;;;;;;;;;;;;;;;;;;;;
4322;Empleados de servicios de apoyo a la producción;432;;;;;;;;;;;;;;;;;;;;;;;
4323;Empleados de servicios de transporte;432;;;;;;;;;;;;;;;;;;;;;;;
44;Otro personal de apoyo administrativo;4;;;;;;;;;;;;;;;;;;;;;;;
441;Otro personal de apoyo administrativo;44;;;;;;;;;;;;;;;;;;;;;;;
4411;Empleados de bibliotecas;441;;;;;;;;;;;;;;;;;;;;;;;
4412;Empleados de servicios de correos;441;;;;;;;;;;;;;;;;;;;;;;;
4413;Codificadores de datos, correctores de pruebas de imprenta y afines;441;;;;;;;;;;;;;;;;;;;;;;;
4414;Escribientes públicos y afines;441;;;;;;;;;;;;;;;;;;;;;;;
4415;Empleados de archivos;441;;;;;;;;;;;;;;;;;;;;;;;
4416;Empleados del servicio de personal;441;;;;;;;;;;;;;;;;;;;;;;;
4419;Otro personal de apoyo administrativo no clasificados en otros grupos primarios;441;;;;;;;;;;;;;;;;;;;;;;;
5;TRABAJADORES DE LOS SERVICIOS Y VENDEDORES DE COMERCIOS Y MERCADOS;;;;;;;;;;;;;;;;;;;;;;;;
51;TRABAJADORES DE LOS SERVICIOS PERSONALES;5;;;;;;;;;;;;;;;;;;;;;;;
511;Personal al servicio directo de los pasajeros;51;;;;;;;;;;;;;;;;;;;;;;;
5111;Personal de servicio a pasajeros;511;;;;;;;;;;;;;;;;;;;;;;;
5112;Revisores y cobradores de los transportes públicos;511;;;;;;;;;;;;;;;;;;;;;;;
5113;Guías;511;;;;;;;;;;;;;;;;;;;;;;;
512;Cocineros;51;;;;;;;;;;;;;;;;;;;;;;;
5120;Cocineros;512;;;;;;;;;;;;;;;;;;;;;;;
513;Meseros y bármanes;51;;;;;;;;;;;;;;;;;;;;;;;
5131;Meseros;513;;;;;;;;;;;;;;;;;;;;;;;
5132;Bármanes;513;;;;;;;;;;;;;;;;;;;;;;;
514;Peluqueros, especialistas en tratamientos de belleza y afines;51;;;;;;;;;;;;;;;;;;;;;;;
5141;Peluqueros;514;;;;;;;;;;;;;;;;;;;;;;;
5142;Especialistas en tratamientos de belleza y afines;514;;;;;;;;;;;;;;;;;;;;;;;
515;Supervisores de mantenimiento y limpieza de edificios;51;;;;;;;;;;;;;;;;;;;;;;;
5151;Supervisores  de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos;515;;;;;;;;;;;;;;;;;;;;;;;
5152;Mayordomos domésticos;515;;;;;;;;;;;;;;;;;;;;;;;
5153;Conserjes y afines;515;;;;;;;;;;;;;;;;;;;;;;;
516;Otros trabajadores de servicios personales;51;;;;;;;;;;;;;;;;;;;;;;;
5161;Astrólogos, adivinos y trabajadores afines;516;;;;;;;;;;;;;;;;;;;;;;;
5162;Acompañantes ;516;;;;;;;;;;;;;;;;;;;;;;;
5163;Personal de servicios funerarios y embalsamadores;516;;;;;;;;;;;;;;;;;;;;;;;
5164;Cuidadores de animales;516;;;;;;;;;;;;;;;;;;;;;;;
5165;Instructores de conducción;516;;;;;;;;;;;;;;;;;;;;;;;
5169;Otros trabajadores de servicios personales no clasificados en otros grupos primarios;516;;;;;;;;;;;;;;;;;;;;;;;
52;"VENDEDORES
";5;;;;;;;;;;;;;;;;;;;;;;;
521;Vendedores callejeros y de puestos de mercado ;52;;;;;;;;;;;;;;;;;;;;;;;
5211;Vendedores en quioscos y puestos de mercado;521;;;;;;;;;;;;;;;;;;;;;;;
5212;Vendedores ambulantes de alimentos preparados para consumo inmediato;521;;;;;;;;;;;;;;;;;;;;;;;
522;Comerciantes y vendedores de tiendas, almacenes y afines;52;;;;;;;;;;;;;;;;;;;;;;;
5221;Comerciantes de tiendas;522;;;;;;;;;;;;;;;;;;;;;;;
5222;Supervisores de tiendas y almacenes;522;;;;;;;;;;;;;;;;;;;;;;;
5223;Vendedores y auxiliares de venta en tiendas, almacenes y afines;522;;;;;;;;;;;;;;;;;;;;;;;
523;Cajeros de comercio, taquilleros y expendedores de boletas;52;;;;;;;;;;;;;;;;;;;;;;;
5230;Cajeros de comercio, taquilleros y expendedores de boletas;523;;;;;;;;;;;;;;;;;;;;;;;
524;Otros vendedores;52;;;;;;;;;;;;;;;;;;;;;;;
5241;Modelos de moda, arte y publicidad;524;;;;;;;;;;;;;;;;;;;;;;;
5242;Demostradores de tiendas, almacenes y afines;524;;;;;;;;;;;;;;;;;;;;;;;
5243;Vendedores puerta a puerta ;524;;;;;;;;;;;;;;;;;;;;;;;
5244;Vendedores a través de medios tecnológicos;524;;;;;;;;;;;;;;;;;;;;;;;
5245;Expendedores de combustibles para vehículos;524;;;;;;;;;;;;;;;;;;;;;;;
5246;Vendedores de comidas en mostrador ;524;;;;;;;;;;;;;;;;;;;;;;;
5249;Otros vendedores no clasificados en otros grupos primarios;524;;;;;;;;;;;;;;;;;;;;;;;
53;TRABAJADORES DE LOS CUIDADOS PERSONALES;5;;;;;;;;;;;;;;;;;;;;;;;
531;Cuidadores de niños y auxiliares de maestros;53;;;;;;;;;;;;;;;;;;;;;;;
5311;Cuidadores de niños;531;;;;;;;;;;;;;;;;;;;;;;;
5312;Auxiliares de maestros;531;;;;;;;;;;;;;;;;;;;;;;;
532;Trabajadores de los cuidados personales en servicios de salud ;53;;;;;;;;;;;;;;;;;;;;;;;
5321;Trabajadores de los cuidados personales en instituciones;532;;;;;;;;;;;;;;;;;;;;;;;
5322;Trabajadores de los cuidados personales a domicilio;532;;;;;;;;;;;;;;;;;;;;;;;
5329;Trabajadores de los cuidados personales en servicios de salud no clasificados en otros grupos primarios;532;;;;;;;;;;;;;;;;;;;;;;;
54;PERSONAL DE LOS SERVICIOS DE PROTECCIÓN;5;;;;;;;;;;;;;;;;;;;;;;;
541;Personal de los servicios de protección;54;;;;;;;;;;;;;;;;;;;;;;;
5411;Bomberos y rescatistas;541;;;;;;;;;;;;;;;;;;;;;;;
5412;Policías;541;;;;;;;;;;;;;;;;;;;;;;;
5413;Guardianes de prisión;541;;;;;;;;;;;;;;;;;;;;;;;
5414;Guardias de seguridad;541;;;;;;;;;;;;;;;;;;;;;;;
5419;Personal de los servicios de protección no clasificados en otros grupos primarios;541;;;;;;;;;;;;;;;;;;;;;;;
6;AGRICULTORES Y TRABAJADORES CALIFICADOS AGROPECUARIOS, FORESTALES Y PESQUEROS;;;;;;;;;;;;;;;;;;;;;;;;
61;AGRICULTORES Y TRABAJADORES CALIFICADOS DE EXPLOTACIONES AGROPECUARIAS CON DESTINO AL MERCADO;6;;;;;;;;;;;;;;;;;;;;;;;
611;Agricultores y trabajadores calificados de jardines y de cultivos para el mercado;61;;;;;;;;;;;;;;;;;;;;;;;
6111;Agricultores y trabajadores calificados de cultivos extensivos;611;;;;;;;;;;;;;;;;;;;;;;;
6112;Agricultores y trabajadores calificados de plantaciones de árboles y arbustos;611;;;;;;;;;;;;;;;;;;;;;;;
6113;Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines;611;;;;;;;;;;;;;;;;;;;;;;;
6114;Agricultores y trabajadores calificados de cultivos mixtos;611;;;;;;;;;;;;;;;;;;;;;;;
612;Criadores y trabajadores pecuarios calificados de la cría de animales orientados al mercado;61;;;;;;;;;;;;;;;;;;;;;;;
6121;Criadores de ganado y trabajadores de la cría de animales domésticos (excepto aves de corral);612;;;;;;;;;;;;;;;;;;;;;;;
6122;Avicultores y trabajadores calificados de la avicultura;612;;;;;;;;;;;;;;;;;;;;;;;
6123;Criadores y trabajadores calificados de la apicultura y la sericicultura;612;;;;;;;;;;;;;;;;;;;;;;;
6129;Criadores y trabajadores pecuarios calificados, avicultores y criadores de insectos no clasificados en otros grupos primarios;612;;;;;;;;;;;;;;;;;;;;;;;
613;Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado;61;;;;;;;;;;;;;;;;;;;;;;;
6130;Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado;613;;;;;;;;;;;;;;;;;;;;;;;
62;"TRABAJADORES FORESTALES CALIFICADOS, PESCADORES Y CAZADORES EN
ACTIVIDADES ORIENTADAS AL MERCADO";6;;;;;;;;;;;;;;;;;;;;;;;
621;Trabajadores forestales calificados y afines;62;;;;;;;;;;;;;;;;;;;;;;;
6210;Trabajadores forestales calificados y afines;621;;;;;;;;;;;;;;;;;;;;;;;
622;Pescadores, cazadores y tramperos;62;;;;;;;;;;;;;;;;;;;;;;;
6221;Trabajadores de explotaciones de acuicultura;622;;;;;;;;;;;;;;;;;;;;;;;
6222;Pescadores de agua dulce y en aguas costeras;622;;;;;;;;;;;;;;;;;;;;;;;
6223;Pescadores de alta mar;622;;;;;;;;;;;;;;;;;;;;;;;
6224;Cazadores y tramperos;622;;;;;;;;;;;;;;;;;;;;;;;
63;TRABAJADORES AGROPECUARIOS, PESCADORES, CAZADORES Y RECOLECTORES DE SUBSISTENCIA;6;;;;;;;;;;;;;;;;;;;;;;;
631;Trabajadores agrícolas de subsistencia;63;;;;;;;;;;;;;;;;;;;;;;;
6310;Trabajadores agrícolas de subsistencia;631;;;;;;;;;;;;;;;;;;;;;;;
632;Trabajadores pecuarios de subsistencia;63;;;;;;;;;;;;;;;;;;;;;;;
6320;Trabajadores pecuarios de subsistencia;632;;;;;;;;;;;;;;;;;;;;;;;
633;Trabajadores agropecuarios de subsistencia;63;;;;;;;;;;;;;;;;;;;;;;;
6330;Trabajadores agropecuarios de subsistencia;633;;;;;;;;;;;;;;;;;;;;;;;
634;Pescadores, cazadores, tramperos y recolectores de subsistencia;63;;;;;;;;;;;;;;;;;;;;;;;
6340;Pescadores, cazadores, tramperos y recolectores de subsistencia;634;;;;;;;;;;;;;;;;;;;;;;;
7;OFICIALES, OPERARIOS, ARTESANOS Y OFICIOS RELACIONADOS;;;;;;;;;;;;;;;;;;;;;;;;
71;OFICIALES Y OPERARIOS DE LA CONSTRUCCIÓN (EXCLUYENDO ELECTRICISTAS);7;;;;;;;;;;;;;;;;;;;;;;;
711;Oficiales y operarios de la construcción de obra gruesa y afines;71;;;;;;;;;;;;;;;;;;;;;;;
7111;Constructores de casas;711;;;;;;;;;;;;;;;;;;;;;;;
7112;Albañiles;711;;;;;;;;;;;;;;;;;;;;;;;
7113;Labrantes, tronzadores y grabadores de piedra;711;;;;;;;;;;;;;;;;;;;;;;;
7114;Operarios en cemento armado, enfoscadores y afines;711;;;;;;;;;;;;;;;;;;;;;;;
7115;Carpinteros de armar y de obra blanca;711;;;;;;;;;;;;;;;;;;;;;;;
7119;Oficiales y operarios de la construcción de obra gruesa y afines no clasificados en otros grupos primarios;711;;;;;;;;;;;;;;;;;;;;;;;
712;Oficiales y operarios de la construcción de trabajos de acabado y afines;71;;;;;;;;;;;;;;;;;;;;;;;
7121;Techadores;712;;;;;;;;;;;;;;;;;;;;;;;
7122;Enchapadores, parqueteros y colocadores de suelos;712;;;;;;;;;;;;;;;;;;;;;;;
7123;Revocadores;712;;;;;;;;;;;;;;;;;;;;;;;
7124;Instaladores de material aislante y de insonorización;712;;;;;;;;;;;;;;;;;;;;;;;
7125;Cristaleros;712;;;;;;;;;;;;;;;;;;;;;;;
7126;Fontaneros e instaladores de tuberías;712;;;;;;;;;;;;;;;;;;;;;;;
7127;Mecánicos montadores de aire acondicionado y refrigeración;712;;;;;;;;;;;;;;;;;;;;;;;
713;Pintores, limpiadores de fachadas y afines;71;;;;;;;;;;;;;;;;;;;;;;;
7131;Pintores y empapeladores;713;;;;;;;;;;;;;;;;;;;;;;;
7132;Barnizadores y afines;713;;;;;;;;;;;;;;;;;;;;;;;
7133;Limpiadores de fachadas y deshollinadores;713;;;;;;;;;;;;;;;;;;;;;;;
72;"OFICIALES Y OPERARIOS DE LA METALURGIA; MECÁNICOS Y REPARADORES DE MÁQUINAS Y AFINES";7;;;;;;;;;;;;;;;;;;;;;;;
721;Moldeadores, soldadores, chapistas, caldereros, montadores de estructuras metálicas y afines;72;;;;;;;;;;;;;;;;;;;;;;;
7211;Moldeadores y macheros;721;;;;;;;;;;;;;;;;;;;;;;;
7212;Soldadores y oxicortadores;721;;;;;;;;;;;;;;;;;;;;;;;
7213;Chapistas y caldereros;721;;;;;;;;;;;;;;;;;;;;;;;
7214;Montadores de estructuras metálicas;721;;;;;;;;;;;;;;;;;;;;;;;
7215;Aparejadores y empalmadores de cables;721;;;;;;;;;;;;;;;;;;;;;;;
722;Herreros, herramentistas y afines;72;;;;;;;;;;;;;;;;;;;;;;;
7221;Herreros y forjadores;722;;;;;;;;;;;;;;;;;;;;;;;
7222;Herramentistas y afines;722;;;;;;;;;;;;;;;;;;;;;;;
7223;Ajustadores y operadores de máquinas herramientas;722;;;;;;;;;;;;;;;;;;;;;;;
7224;Pulidores de metales y afiladores de herramientas;722;;;;;;;;;;;;;;;;;;;;;;;
723;Mecánicos y reparadores de máquinas;72;;;;;;;;;;;;;;;;;;;;;;;
7231;Mecánicos y reparadores de vehículos de motor;723;;;;;;;;;;;;;;;;;;;;;;;
7232;Mecánicos y reparadores de sistemas y motores de aeronaves;723;;;;;;;;;;;;;;;;;;;;;;;
7233;Mecánicos y reparadores de máquinas agrícolas e industriales;723;;;;;;;;;;;;;;;;;;;;;;;
7234;Reparadores de bicicletas y afines;723;;;;;;;;;;;;;;;;;;;;;;;
73;ARTESANOS Y OPERARIOS DE LAS ARTES GRÁFICAS Y AFINES;7;;;;;;;;;;;;;;;;;;;;;;;
731;Artesanos de precisión, alfarería, cerámica y vidrio;73;;;;;;;;;;;;;;;;;;;;;;;
7311;Mecánicos y reparadores de instrumentos de precisión;731;;;;;;;;;;;;;;;;;;;;;;;
7312;Fabricantes y afinadores de instrumentos musicales;731;;;;;;;;;;;;;;;;;;;;;;;
7313;Se desagrega en 7361, 7362 y 7363 por adaptación;731;;;;;;;;;;;;;;;;;;;;;;;
7314;Alfareros y ceramistas (barro y arcilla);731;;;;;;;;;;;;;;;;;;;;;;;
7315;Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio;731;;;;;;;;;;;;;;;;;;;;;;;
7316;Rotulistas, pintores decorativos y grabadores;731;;;;;;;;;;;;;;;;;;;;;;;
7317;Se desagrega en 7341, 7342, 7351 y 7352 por adaptación;731;;;;;;;;;;;;;;;;;;;;;;;
7318;Se desagrega en 7331, 7332, 7333 y 7370 por adaptación;731;;;;;;;;;;;;;;;;;;;;;;;
7319;Se desagrega en 7391, 7392, 7393 y 7399 por adaptación;731;;;;;;;;;;;;;;;;;;;;;;;
732;Oficiales y operarios de las artes gráficas;73;;;;;;;;;;;;;;;;;;;;;;;
7321;Preimpresores y afines;732;;;;;;;;;;;;;;;;;;;;;;;
7322;Impresores;732;;;;;;;;;;;;;;;;;;;;;;;
7323;Encuadernadores y afines;732;;;;;;;;;;;;;;;;;;;;;;;
733;Tejedores;73;;;;;;;;;;;;;;;;;;;;;;;
7331;Tejedores con telares;733;;;;;;;;;;;;;;;;;;;;;;;
7332;Tejedores con agujas;733;;;;;;;;;;;;;;;;;;;;;;;
7333;Otros tejedores;733;;;;;;;;;;;;;;;;;;;;;;;
734;Cesteros, mimbreros y sombrereros artesanales;73;;;;;;;;;;;;;;;;;;;;;;;
7341;Cesteros y mimbreros;734;;;;;;;;;;;;;;;;;;;;;;;
7342;Sombrereros artesanales;734;;;;;;;;;;;;;;;;;;;;;;;
735;Artesanos que realizan trabajos en madera;73;;;;;;;;;;;;;;;;;;;;;;;
7351;Tallador piezas artesanales de madera;735;;;;;;;;;;;;;;;;;;;;;;;
7352;Decoradores de piezas artesanales en madera;735;;;;;;;;;;;;;;;;;;;;;;;
736;Joyeros, orfebres, plateros y bisuteros;73;;;;;;;;;;;;;;;;;;;;;;;
7361;Joyeros;736;;;;;;;;;;;;;;;;;;;;;;;
7362;Orfebres y plateros;736;;;;;;;;;;;;;;;;;;;;;;;
7363;Bisutero;736;;;;;;;;;;;;;;;;;;;;;;;
737;Artesanos del cuero;73;;;;;;;;;;;;;;;;;;;;;;;
7370;Artesanos del cuero;737;;;;;;;;;;;;;;;;;;;;;;;
739;Artesanos no clasificados en otros grupos primarios;73;;;;;;;;;;;;;;;;;;;;;;;
7391;Artesanos de papel;739;;;;;;;;;;;;;;;;;;;;;;;
7392;Artesanos del hierro y otros metales;739;;;;;;;;;;;;;;;;;;;;;;;
7393;Artesanos de las semillas y cortezas vegetales;739;;;;;;;;;;;;;;;;;;;;;;;
7399;Artesanos de otros materiales no clasificados en otros grupos primarios;739;;;;;;;;;;;;;;;;;;;;;;;
74;OFICIALES Y OPERARIOS DE ELECTRICIDAD Y ELECTRÓNICA;7;;;;;;;;;;;;;;;;;;;;;;;
741;Instaladores y reparadores de equipos eléctricos;74;;;;;;;;;;;;;;;;;;;;;;;
7411;Electricistas de obras y afines;741;;;;;;;;;;;;;;;;;;;;;;;
7412;Ajustadores electricistas;741;;;;;;;;;;;;;;;;;;;;;;;
7413;Instaladores y reparadores de líneas eléctricas ;741;;;;;;;;;;;;;;;;;;;;;;;
742;Instaladores y reparadores de equipos electrónicos y de telecomunicaciones;74;;;;;;;;;;;;;;;;;;;;;;;
7421;Ajustadores e instaladores en electrónica;742;;;;;;;;;;;;;;;;;;;;;;;
7422;Instaladores y reparadores en tecnología de la información y las comunicaciones;742;;;;;;;;;;;;;;;;;;;;;;;
75;OFICIALES Y OPERARIOS DE PROCESAMIENTO DE ALIMENTOS, DE LA CONFECCIÓN, EBANISTAS Y AFINES;7;;;;;;;;;;;;;;;;;;;;;;;
751;Oficiales y operarios de procesamiento de alimentos y afines;75;;;;;;;;;;;;;;;;;;;;;;;
7511;Carniceros, pescaderos y afines;751;;;;;;;;;;;;;;;;;;;;;;;
7512;Panaderos, pasteleros y confiteros;751;;;;;;;;;;;;;;;;;;;;;;;
7513;Operarios de la elaboración de productos lácteos;751;;;;;;;;;;;;;;;;;;;;;;;
7514;Operarios de la conservación de frutas, legumbres, verduras y afines;751;;;;;;;;;;;;;;;;;;;;;;;
7515;Catadores y clasificadores de alimentos y bebidas;751;;;;;;;;;;;;;;;;;;;;;;;
7516;Preparadores y elaboradores de cigarros y productos del tabaco ;751;;;;;;;;;;;;;;;;;;;;;;;
752;Oficiales y operarios del tratamiento de la madera, ebanistas y afines;75;;;;;;;;;;;;;;;;;;;;;;;
7521;Operarios del tratamiento de la madera;752;;;;;;;;;;;;;;;;;;;;;;;
7522;Ebanistas y carpinteros (excluye carpinteros de armar y de obra blanca);752;;;;;;;;;;;;;;;;;;;;;;;
7523;Ajustadores y operadores de máquinas para trabajar madera;752;;;;;;;;;;;;;;;;;;;;;;;
753;Oficiales y operarios de la confección y afines;75;;;;;;;;;;;;;;;;;;;;;;;
7531;Sastres, modistos, peleteros y sombrereros;753;;;;;;;;;;;;;;;;;;;;;;;
7532;Patronistas y cortadores de tela, cuero y afines;753;;;;;;;;;;;;;;;;;;;;;;;
7533;Costureros, bordadores y afines;753;;;;;;;;;;;;;;;;;;;;;;;
7534;Tapiceros, colchoneros y afines;753;;;;;;;;;;;;;;;;;;;;;;;
7535;Apelambradores, pellejeros y curtidores;753;;;;;;;;;;;;;;;;;;;;;;;
7536;Zapateros y afines;753;;;;;;;;;;;;;;;;;;;;;;;
754;Otros oficiales, operarios y afines;75;;;;;;;;;;;;;;;;;;;;;;;
7541;Buzos;754;;;;;;;;;;;;;;;;;;;;;;;
7542;Dinamiteros y pegadores;754;;;;;;;;;;;;;;;;;;;;;;;
7543;Clasificadores y probadores de productos (excluyendo alimentos y bebidas);754;;;;;;;;;;;;;;;;;;;;;;;
7544;Fumigadores y otros controladores de plagas y malas hierbas;754;;;;;;;;;;;;;;;;;;;;;;;
7549;Otros oficiales, operarios y oficios relacionados no clasificados en otros grupos primarios;754;;;;;;;;;;;;;;;;;;;;;;;
8;OPERADORES DE INSTALACIONES Y MÁQUINAS Y ENSAMBLADORES ;;;;;;;;;;;;;;;;;;;;;;;;
81;OPERADORES DE INSTALACIONES FIJAS Y MAQUINAS;8;;;;;;;;;;;;;;;;;;;;;;;
811;Operadores de instalaciones mineras y de extracción y procesamiento de minerales ;81;;;;;;;;;;;;;;;;;;;;;;;
8111;Mineros y operadores de instalaciones mineras;811;;;;;;;;;;;;;;;;;;;;;;;
8112;Operadores de instalaciones de procesamiento de minerales y rocas;811;;;;;;;;;;;;;;;;;;;;;;;
8113;Perforadores y sondistas de pozos y afines;811;;;;;;;;;;;;;;;;;;;;;;;
8114;Operadores de máquinas para fabricar cemento y otros productos minerales;811;;;;;;;;;;;;;;;;;;;;;;;
812;Operadores de instalaciones de procesamiento y recubridoras de metales ;81;;;;;;;;;;;;;;;;;;;;;;;
8121;Operadores de instalaciones de procesamiento de metales;812;;;;;;;;;;;;;;;;;;;;;;;
8122;Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales ;812;;;;;;;;;;;;;;;;;;;;;;;
813;Operadores de instalaciones y máquinas de productos químicos y fotográficos;81;;;;;;;;;;;;;;;;;;;;;;;
8131;Operadores de plantas y máquinas de productos químicos;813;;;;;;;;;;;;;;;;;;;;;;;
8132;Operadores de máquinas para fabricar productos fotográficos;813;;;;;;;;;;;;;;;;;;;;;;;
814;Operadores de máquinas para fabricar productos de caucho, de papel y de material plástico;81;;;;;;;;;;;;;;;;;;;;;;;
8141;Operadores de máquinas para fabricar productos de caucho;814;;;;;;;;;;;;;;;;;;;;;;;
8142;Operadores de máquinas para fabricar productos de material plástico;814;;;;;;;;;;;;;;;;;;;;;;;
8143;Operadores de máquinas para fabricar productos de papel;814;;;;;;;;;;;;;;;;;;;;;;;
815;Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero;81;;;;;;;;;;;;;;;;;;;;;;;
8151;Operadores de máquinas de preparación de fibras, hilado y devanado;815;;;;;;;;;;;;;;;;;;;;;;;
8152;Operadores de telares y otras máquinas tejedoras;815;;;;;;;;;;;;;;;;;;;;;;;
8153;Operadores de máquinas de coser;815;;;;;;;;;;;;;;;;;;;;;;;
8154;Operadores de máquinas de blanqueamiento, teñido y limpieza de tejidos;815;;;;;;;;;;;;;;;;;;;;;;;
8155;Operadores de máquinas de tratamiento de pieles y cueros;815;;;;;;;;;;;;;;;;;;;;;;;
8156;Operadores de máquinas para la fabricación de calzado y afines;815;;;;;;;;;;;;;;;;;;;;;;;
8157;Operadores de máquinas de lavandería;815;;;;;;;;;;;;;;;;;;;;;;;
8159;Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero no clasificados en otros grupos primarios;815;;;;;;;;;;;;;;;;;;;;;;;
816;Operadores de máquinas para elaborar alimentos y productos afines;81;;;;;;;;;;;;;;;;;;;;;;;
8160;Operadores de máquinas para elaborar alimentos y productos afines;816;;;;;;;;;;;;;;;;;;;;;;;
817;Operadores de instalaciones para la preparación de papel y de procesamiento de la madera;81;;;;;;;;;;;;;;;;;;;;;;;
8171;Operadores de instalaciones para la preparación de papel y de pasta para papel;817;;;;;;;;;;;;;;;;;;;;;;;
8172;Operadores de instalaciones de procesamiento de la madera;817;;;;;;;;;;;;;;;;;;;;;;;
818;Otros operadores de máquinas y de instalaciones fijas;81;;;;;;;;;;;;;;;;;;;;;;;
8181;Operadores de máquinas y de instalaciones para elaborar productos de vidrio y cerámica;818;;;;;;;;;;;;;;;;;;;;;;;
8182;Operadores de máquinas de vapor y calderas;818;;;;;;;;;;;;;;;;;;;;;;;
8183;Operadores de máquinas de embalaje, embotellamiento y etiquetado ;818;;;;;;;;;;;;;;;;;;;;;;;
8189;Otros operadores de máquinas y de instalaciones fijas no clasificados en otros grupos primarios;818;;;;;;;;;;;;;;;;;;;;;;;
82;ENSAMBLADORES ;8;;;;;;;;;;;;;;;;;;;;;;;
821;Ensambladores;82;;;;;;;;;;;;;;;;;;;;;;;
8211;Ensambladores de maquinaria mecánica;821;;;;;;;;;;;;;;;;;;;;;;;
8212;Ensambladores de equipos eléctricos y electrónicos;821;;;;;;;;;;;;;;;;;;;;;;;
8219;Ensambladores no clasificados en otros grupos primarios;821;;;;;;;;;;;;;;;;;;;;;;;
83;CONDUCTORES DE VEHÍCULOS Y OPERADORES DE EQUIPOS PESADOS MÓVILES;8;;;;;;;;;;;;;;;;;;;;;;;
831;Maquinistas de locomotoras y afines;83;;;;;;;;;;;;;;;;;;;;;;;
8311;Maquinistas de locomotoras;831;;;;;;;;;;;;;;;;;;;;;;;
8312;Guardafrenos, guardagujas y agentes de maniobras;831;;;;;;;;;;;;;;;;;;;;;;;
832;Conductores de automóviles, camionetas y motocicletas;83;;;;;;;;;;;;;;;;;;;;;;;
8321;Conductores de motocicletas;832;;;;;;;;;;;;;;;;;;;;;;;
8322;Se desagrega en 8323 y 8324 por adaptación;832;;;;;;;;;;;;;;;;;;;;;;;
8323;Conductores de camionetas y vehículos livianos;832;;;;;;;;;;;;;;;;;;;;;;;
8324;Conductores de taxis;832;;;;;;;;;;;;;;;;;;;;;;;
833;Conductores de camiones pesados y buses;83;;;;;;;;;;;;;;;;;;;;;;;
8331;Conductores de buses, microbuses y tranvías;833;;;;;;;;;;;;;;;;;;;;;;;
8332;Conductores de camiones y vehículos pesados;833;;;;;;;;;;;;;;;;;;;;;;;
834;Operadores de maquinaria agrícola móvil y de otras máquinas móviles;83;;;;;;;;;;;;;;;;;;;;;;;
8341;Operadores de maquinaria agrícola y forestal móvil;834;;;;;;;;;;;;;;;;;;;;;;;
8342;Operadores de máquinas de movimiento de tierras, construcción de vías y afines;834;;;;;;;;;;;;;;;;;;;;;;;
8343;Operadores de grúas, aparatos elevadores y afines;834;;;;;;;;;;;;;;;;;;;;;;;
8344;Operadores de montacargas;834;;;;;;;;;;;;;;;;;;;;;;;
