Código;Descripción;Padre;;;;;;;;;;;;;;;;;;;;;;;
2112;Meteorólogos;211;;;;;;;;;;;;;;;;;;;;;;;
2113;Químicos;211;;;;;;;;;;;;;;;;;;;;;;;
2114;Geólogos y geofísicos;211;;;;;;;;;;;;;;;;;;;;;;;
212;Matemáticos, actuarios y estadísticos;21;;;;;;;;;;;;;;;;;;;;;;;
2120;Matemáticos, actuarios y estadísticos;212;;;;;;;;;;;;;;;;;;;;;;;
213;Profesionales en ciencias biológicas;21;;;;;;;;;;;;;;;;;;;;;;;
2131;Biólogos, botánicos, zoólogos y afines;213;;;;;;;;;;;;;;;;;;;;;;;
2132;Agrónomos, silvicultores, zootecnistas y afines;213;;;;;;;;;;;;;;;;;;;;;;;
2133;Profesionales de la protección medioambiental;213;;;;;;;;;;;;;;;;;;;;;;;
214;Ingenieros (excluyendo Ingenieros en electrotecnología);21;;;;;;;;;;;;;;;;;;;;;;;
2141;Ingenieros industriales y de producción;214;;;;;;;;;;;;;;;;;;;;;;;
2142;Ingenieros civiles;214;;;;;;;;;;;;;;;;;;;;;;;
2143;Ingenieros medioambientales;214;;;;;;;;;;;;;;;;;;;;;;;
2144;Ingenieros mecánicos;214;;;;;;;;;;;;;;;;;;;;;;;
2145;Ingenieros químicos;214;;;;;;;;;;;;;;;;;;;;;;;
2146;Ingenieros de minas, metalúrgicos y afines;214;;;;;;;;;;;;;;;;;;;;;;;
2149;Ingenieros no clasificados en otros grupos primarios;214;;;;;;;;;;;;;;;;;;;;;;;
215;Ingenieros en electrotecnología;21;;;;;;;;;;;;;;;;;;;;;;;
2151;Ingenieros electricistas;215;;;;;;;;;;;;;;;;;;;;;;;
2152;Ingenieros electrónicos;215;;;;;;;;;;;;;;;;;;;;;;;
2153;Ingenieros de telecomunicaciones;215;;;;;;;;;;;;;;;;;;;;;;;
216;Arquitectos, planificadores, topógrafos y diseñadores;21;;;;;;;;;;;;;;;;;;;;;;;
2161;Arquitectos constructores;216;;;;;;;;;;;;;;;;;;;;;;;
2162;Arquitectos paisajistas;216;;;;;;;;;;;;;;;;;;;;;;;
2163;Diseñadores de productos y de prendas;216;;;;;;;;;;;;;;;;;;;;;;;
2164;Planificadores urbanos, regionales y de tránsito;216;;;;;;;;;;;;;;;;;;;;;;;
2165;Cartógrafos y topógrafos;216;;;;;;;;;;;;;;;;;;;;;;;
2166;Diseñadores gráficos y multimedia;216;;;;;;;;;;;;;;;;;;;;;;;
22;PROFESIONALES DE LA SALUD;2;;;;;;;;;;;;;;;;;;;;;;;
221;Médicos;22;;;;;;;;;;;;;;;;;;;;;;;
2211;Médicos generales;221;;;;;;;;;;;;;;;;;;;;;;;
2212;Médicos especialistas ;221;;;;;;;;;;;;;;;;;;;;;;;
222;Profesionales de enfermería y de partería;22;;;;;;;;;;;;;;;;;;;;;;;
2221;Profesionales de enfermería;222;;;;;;;;;;;;;;;;;;;;;;;
2222;Profesionales de partería;222;;;;;;;;;;;;;;;;;;;;;;;
223;Profesionales de medicina tradicional y alternativa;22;;;;;;;;;;;;;;;;;;;;;;;
2230;Profesionales de medicina tradicional y alternativa;223;;;;;;;;;;;;;;;;;;;;;;;
224;Paramédicos e instrumentadores quirúrgicos;22;;;;;;;;;;;;;;;;;;;;;;;
2240;Paramédicos e instrumentadores quirúrgicos;224;;;;;;;;;;;;;;;;;;;;;;;
225;Veterinarios;22;;;;;;;;;;;;;;;;;;;;;;;
2250;Veterinarios;225;;;;;;;;;;;;;;;;;;;;;;;
226;Otros profesionales de la salud;22;;;;;;;;;;;;;;;;;;;;;;;
2261;Odontólogos;226;;;;;;;;;;;;;;;;;;;;;;;
2262;Farmacéuticos;226;;;;;;;;;;;;;;;;;;;;;;;
